0,691,1233
1,255,804
2,518,695
3,521,770
4,688,661
5,691,1717
6,518,1554
7,518,1715
8,573,1824
9,824,648
10,743,774
11,956,612
12,961,795
13,951,1233
14,951,1615
15,875,1824
16,1042,736
17,1122,927
18,1098,418
19,1174,608
20,1167,827
21,1156,1119
22,1252,1596
23,1117,1824
24,1319,451
25,1319,608
26,1536,840
27,1627,608
28,1626,732
29,1672,840
30,1733,927
31,1369,1824
32,1733,1119
33,2089,998
34,1937,1187
35,2176,1082
36,2406,1373
37,2021,1862
38,2262,1740
39,2436,1873
40,2426,1631
41,2570,1093
42,2558,1872
43,255,925
44,688,770
45,688,700
46,690,927
47,690,1119
48,690,1367
49,690,1483
50,354,1483
51,354,1715
52,573,1483
53,573,1554
54,573,1715
55,897,612
56,897,619
57,897,774
58,961,737
59,961,773
60,962,926
61,951,927
62,951,1121
63,951,1367
64,954,1716
65,952,1825
66,1001,612
67,1012,629
68,1042,685
69,1122,736
70,1164,543
71,1174,685
72,1174,736
73,1156,1232
74,1156,1596
75,1118,1715
76,1157,1713
77,1270,346
78,1319,543
79,1319,685
80,1375,736
81,1375,768
82,1375,827
83,1376,841
84,1375,927
85,1374,1118
86,1374,1232
87,1536,543
88,1536,608
89,1536,768
90,1536,927
91,1528,927
92,1527,1118
93,1733,543
94,1732,608
95,1733,732
96,1616,1120
97,1617,1234
98,1619,1317
99,1619,1557
100,1619,1716
101,1369,1596
102,1369,1715
103,1850,927
104,1850,1119
105,1850,1299
106,1960,964
107,1965,1011
108,1975,1103
109,1937,1119
110,2184,1167
111,2195,1263
112,2376,1062
113,2383,1153
114,2393,1242
115,2414,1481
116,2622,1221
117,2194,1503
118,2210,1655
119,2262,1655
120,2040,1663
121,2021,1685
122,2020,1717
123,2244,1740
124,2243,1873
125,2436,1740
126,2566,1046
127,2574,1132
128,2622,1461
129,2589,926
