691,1233
255,804
518,695
521,770
688,661
691,1717
518,1554
518,1715
573,1824
824,648
743,774
956,612
961,795
951,1233
951,1615
875,1824
1042,736
1122,927
1098,418
1174,608
1167,827
1156,1119
1252,1596
1117,1824
1319,451
1319,608
1536,840
1627,608
1626,732
1672,840
1733,927
1369,1824
1850,1119
2089,998
1937,1187
2176,1082
2406,1373
2021,1862
2262,1740
2436,1873
2426,1631
2570,1093
255,925
688,700
688,770
690,927
690,1119
690,1367
690,1483
354,1483
354,1715
573,1483
573,1554
573,1715
897,612
897,637
897,774
961,737
961,773
962,926
951,927
951,1121
951,1367
954,1716
952,1825
1001,612
1012,629
1042,685
1122,736
1164,543
1174,685
1156,1232
1156,1596
1118,1715
1157,1713
1270,346
1326,543
1319,685
1375,736
1382,768
1375,827
1376,841
1375,927
1374,1118
1374,1232
1536,543
1536,608
1543,608
1536,768
1536,927
1528,927
1527,1118
1733,543
1732,550
1733,732
1733,1119
1616,1120
1617,1234
1619,1317
1619,1557
1619,1716
1369,1715
1369,1596
1850,927
1850,1299
1960,964
1965,1011
1975,1103
1937,1119
2176,1082
2195,1263
2376,1062
2383,1153
2393,1242
2414,1481
1622,1221
2622,1221
2194,1503
2210,1655
2262,1655
2040,1663
2021,1685
2020,1717
2244,1740
2243,1873
2436,1740
2566,1046
2574,1132
