time,epoch,batch,loss,cost
0min0sec,0,0,1.709,16.414
0min2sec,0,10,-8.653,16.766
0min4sec,0,20,-7.040,16.925
0min3sec,0,30,-1.196,16.671
0min3sec,0,40,-1.660,16.627
0min3sec,0,50,-0.967,16.534
0min3sec,0,60,-1.700,16.524
0min3sec,0,70,-1.566,16.506
0min3sec,0,80,-0.966,16.423
0min3sec,0,90,-1.103,16.380
0min3sec,0,100,-1.698,16.403
0min3sec,0,110,-1.331,16.402
0min3sec,0,120,-2.061,16.426
0min3sec,0,130,-1.745,16.420
0min3sec,0,140,-1.688,16.391
0min3sec,0,150,-1.710,16.365
0min3sec,0,160,-1.802,16.340
0min3sec,0,170,-2.106,16.336
0min3sec,0,180,-2.246,16.331
0min3sec,0,190,-2.253,16.328
0min3sec,0,200,-1.919,16.304
0min3sec,0,210,-1.858,16.289
0min3sec,0,220,-1.906,16.283
0min3sec,0,230,-1.792,16.265
0min3sec,0,240,-1.858,16.262
0min3sec,0,250,-1.781,16.251
0min3sec,0,260,-1.735,16.230
0min2sec,0,270,-1.785,16.225
0min1sec,0,280,-1.674,16.225
0min1sec,0,290,-1.652,16.214
0min1sec,0,300,-1.601,16.212
0min2sec,0,310,-1.512,16.201
0min2sec,0,320,-1.538,16.195
0min2sec,0,330,-1.472,16.189
0min2sec,0,340,-1.407,16.178
0min2sec,0,350,-1.396,16.165
0min4sec,0,360,-1.491,16.170
0min4sec,0,370,-1.269,16.149
0min3sec,0,380,-1.281,16.142
0min4sec,0,390,-1.318,16.142
0min3sec,0,400,-1.393,16.139
0min4sec,0,410,-1.335,16.139
0min3sec,0,420,-1.352,16.146
0min4sec,0,430,-1.428,16.160
0min3sec,0,440,-1.383,16.171
0min3sec,0,450,-1.382,16.184
0min4sec,0,460,-1.418,16.200
0min4sec,0,470,-1.385,16.208
0min4sec,0,480,-1.440,16.220
0min2sec,0,490,-1.323,16.222
0min2sec,0,500,-1.280,16.218
0min1sec,0,510,-1.421,16.225
0min2sec,0,520,-1.335,16.227
0min2sec,0,530,-1.464,16.240
0min1sec,0,540,-1.369,16.241
0min3sec,0,550,-1.343,16.245
0min3sec,0,560,-1.324,16.250
0min3sec,0,570,-1.245,16.250
0min3sec,0,580,-1.277,16.251
0min3sec,0,590,-1.194,16.247
0min4sec,0,600,-1.261,16.251
0min3sec,0,610,-1.242,16.250
0min4sec,0,620,-1.284,16.251
0min33sec,1,0,7.188,16.555
0min4sec,1,10,-3.968,16.094
0min5sec,1,20,-7.384,16.145
0min4sec,1,30,-3.885,15.951
0min3sec,1,40,-2.221,15.888
0min3sec,1,50,-2.668,15.829
0min3sec,1,60,-3.683,15.858
0min4sec,1,70,-2.749,15.830
0min4sec,1,80,-3.631,15.872
0min4sec,1,90,-3.056,15.881
0min4sec,1,100,-3.188,15.867
0min4sec,1,110,-3.116,15.884
0min3sec,1,120,-3.666,15.916
0min4sec,1,130,-3.926,15.933
0min4sec,1,140,-3.197,15.924
0min4sec,1,150,-2.515,15.923
0min4sec,1,160,-2.786,15.948
0min3sec,1,170,-3.401,15.963
0min3sec,1,180,-3.907,15.968
0min3sec,1,190,-3.225,15.960
0min3sec,1,200,-4.075,15.982
0min3sec,1,210,-4.705,16.004
0min3sec,1,220,-4.674,16.000
0min3sec,1,230,-4.701,16.006
0min3sec,1,240,-4.368,15.997
0min3sec,1,250,-4.428,15.996
0min3sec,1,260,-4.017,15.990
0min2sec,1,270,-4.135,15.990
0min1sec,1,280,-4.389,16.007
0min2sec,1,290,-4.395,15.989
0min5sec,1,300,-4.200,15.978
