time,epoch,batch,loss,cost
0min0sec,0,0,-0.691,16.431
0min3sec,0,10,-1.838,16.797
0min3sec,0,20,-2.369,16.787
0min3sec,0,30,-0.700,16.786
0min3sec,0,40,-0.226,16.749
0min3sec,0,50,-0.393,16.711
0min4sec,0,60,-0.349,16.670
0min3sec,0,70,-0.392,16.644
0min3sec,0,80,-0.030,16.562
0min3sec,0,90,-0.097,16.518
0min3sec,0,100,-0.494,16.497
0min2sec,0,110,-0.040,16.450
0min1sec,0,120,0.071,16.413
0min1sec,0,130,-0.250,16.393
0min2sec,0,140,-0.204,16.359
0min3sec,0,150,-0.137,16.334
0min4sec,0,160,-0.315,16.309
0min4sec,0,170,-0.688,16.325
0min3sec,0,180,-0.428,16.309
0min2sec,0,190,-0.411,16.279
0min2sec,0,200,-0.467,16.259
0min2sec,0,210,-0.466,16.241
0min2sec,0,220,-0.456,16.216
0min2sec,0,230,-0.435,16.209
0min2sec,0,240,-0.220,16.183
0min2sec,0,250,-0.500,16.183
0min3sec,0,260,-0.461,16.172
0min2sec,0,270,-0.469,16.165
0min2sec,0,280,-0.499,16.149
0min2sec,0,290,-0.385,16.125
0min2sec,0,300,-0.600,16.133
0min2sec,0,310,-0.418,16.118
0min2sec,0,320,-0.442,16.115
0min2sec,0,330,-0.396,16.105
0min2sec,0,340,-0.354,16.092
0min2sec,0,350,-0.493,16.092
0min2sec,0,360,-0.401,16.080
0min2sec,0,370,-0.451,16.075
0min2sec,0,380,-0.623,16.085
0min2sec,0,390,-0.427,16.074
0min2sec,0,400,-0.570,16.079
0min2sec,0,410,-0.510,16.074
0min2sec,0,420,-0.592,16.076
0min2sec,0,430,-0.583,16.077
0min3sec,0,440,-0.523,16.074
0min4sec,0,450,-0.542,16.074
0min4sec,0,460,-0.508,16.072
0min4sec,0,470,-0.534,16.071
0min4sec,0,480,-0.504,16.065
0min4sec,0,490,-0.496,16.065
0min4sec,0,500,-0.585,16.067
0min4sec,0,510,-0.544,16.059
0min4sec,0,520,-0.608,16.061
0min4sec,0,530,-0.653,16.067
0min4sec,0,540,-0.631,16.065
0min4sec,0,550,-0.605,16.067
0min2sec,0,560,-0.609,16.063
0min2sec,0,570,-0.594,16.061
0min2sec,0,580,-0.615,16.060
0min2sec,0,590,-0.644,16.058
0min2sec,0,600,-0.600,16.052
0min2sec,0,610,-0.643,16.050
0min2sec,0,620,-0.588,16.040
0min53sec,1,0,0.999,16.373
0min10sec,1,10,-0.541,15.833
0min7sec,1,20,-3.181,15.929
0min11sec,1,30,-6.352,16.022
0min17sec,1,40,-5.935,16.024
0min12sec,1,50,-8.143,16.071
0min11sec,1,60,-8.421,16.050
0min12sec,1,70,-7.509,16.037
0min11sec,1,80,-7.380,16.019
0min9sec,1,90,-6.356,16.007
0min6sec,1,100,-6.692,16.001
0min6sec,1,110,-5.451,15.961
0min6sec,1,120,-5.650,15.959
0min6sec,1,130,-5.673,15.949
0min6sec,1,140,-5.438,15.947
0min6sec,1,150,-5.301,15.951
0min6sec,1,160,-5.051,15.935
0min6sec,1,170,-5.090,15.937
0min5sec,1,180,-5.046,15.938
0min6sec,1,190,-4.983,15.936
0min9sec,1,200,-5.565,15.965
0min8sec,1,210,-5.415,15.964
0min7sec,1,220,-5.868,15.969
0min7sec,1,230,-6.091,15.989
0min7sec,1,240,-5.868,15.986
0min10sec,1,250,-6.317,15.995
0min11sec,1,260,-6.126,15.996
0min9sec,1,270,-5.985,15.986
0min5sec,1,280,-5.859,15.982
0min5sec,1,290,-5.940,15.974
0min5sec,1,300,-5.920,15.983
0min5sec,1,310,-6.035,15.988
0min5sec,1,320,-5.572,15.975
0min5sec,1,330,-5.438,15.970
0min5sec,1,340,-5.376,15.960
0min5sec,1,350,-5.323,15.966
0min5sec,1,360,-5.086,15.961
0min5sec,1,370,-4.935,15.954
0min5sec,1,380,-5.059,15.960
0min5sec,1,390,-4.959,15.956
0min5sec,1,400,-4.881,15.951
0min5sec,1,410,-4.861,15.951
0min5sec,1,420,-4.768,15.944
0min5sec,1,430,-4.617,15.935
0min5sec,1,440,-4.591,15.934
0min5sec,1,450,-4.444,15.929
0min5sec,1,460,-4.422,15.925
0min11sec,1,470,-4.383,15.927
0min9sec,1,480,-4.293,15.924
0min9sec,1,490,-4.315,15.919
0min10sec,1,500,-4.226,15.913
0min10sec,1,510,-4.106,15.908
0min10sec,1,520,-4.064,15.908
0min5sec,1,530,-4.108,15.910
0min5sec,1,540,-4.224,15.912
0min5sec,1,550,-4.192,15.911
0min5sec,1,560,-4.202,15.907
0min5sec,1,570,-4.216,15.909
0min5sec,1,580,-4.356,15.913
0min6sec,1,590,-4.369,15.914
0min5sec,1,600,-4.321,15.911
0min5sec,1,610,-4.466,15.913
0min4sec,1,620,-4.390,15.908
1min17sec,2,0,14.777,15.681
0min9sec,2,10,-7.009,16.166
